Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
329426,364.1,480.1,388,438.1,698.6,535.9,594.9,568.5,706.6,613.7,590.4,580.2,29108.982,34536.0828
329504,345.6,490.5,438.8,394.7,628.5,492.8,554.9,609.1,767.2,661.5,631.2,635.7,29949.899,34241.9922
329505,492.9,624.3,534.4,584.6,888.3,726.5,746.7,800.5,688.3,691.4,796.6,702.3,30054.1736,34173.0748
329506,414.8,659.2,606,644,896.6,696,801.8,838.4,830.1,802,745,731.5,29975.1956,34269.4149
329507,-,-,-,-,-,-,-,-,-,-,s,17.3,30037.5152,34249.0305
329550,364.3,409.2,311.1,358.7,574.7,501.1,472.7,485.3,467.7,449.9,477.1,518,29369.2544,34166.5185
329552,408.7,465.6,406.3,435.5,629.1,557.9,507.3,598.1,619.6,562.9,590.6,637.9,29426.0991,34172.0458
329557,456.6,562.1,374,450.3,600.5,550.9,505.9,504.2,608.6,548.5,491,549.2,29418.9845,34130.3361
329564,271.6,357.1,308.7,305.2,491.7,460.1,379.2,407.5,443.4,414.9,405.5,448.6,29356.6603,34216.1324
329585,584.9,730.8,613.6,693.8,995.2,790.6,895.5,930.3,795.2,820.8,849.3,822,29824.9228,34355.201
329586,"1,496.20","2,951.80",s,"3,405.20",s,"3,647.80","3,145.70","3,748.20",s,"4,001.70","3,917.50","3,894.70",29810.8125,34256.1222
329599,590.3,718.2,553.9,625.5,869.6,699.5,771.3,760.2,839.4,800.1,849.7,811.4,29843.1181,34379.9792
329602,387.3,564.5,447.8,473.7,705.7,586.4,677.9,729.8,764.8,726.7,702.8,723,29840.1651,34415.7658
329608,513.9,620.2,493.7,529,799.9,646.7,736,771.5,734.6,713.5,778.3,708.5,29892.9497,34437.8898
329609,406.3,577.3,474,517,661,558.5,633.2,653.8,606.5,600.2,650.6,615.2,29928.6404,34379.0623
329610,"1,034.40","1,088.90","1,296.70","1,086.10","1,315.60","1,290.20","1,545.10","1,484.70","1,479.80","1,390.00","1,493.80","1,486.80",29959.4209,34434.9714
329640,343.9,401.2,378.7,391.2,464,452.5,554.6,497.1,486.2,475.5,471.6,522.4,29797.5157,34107.0864
329682,211.8,282.6,262.3,275.3,382.8,301.9,320.6,329,321.3,348,370.5,346.2,30128.8423,33642.4185
329683,519.9,772.6,549.6,741.1,"1,925.70","1,688.80","2,625.60","2,064.90","2,015.30","1,852.10","1,712.50","2,019.40",30131.162,33692.4269
329690,s,s,s,s,s,s,s,s,s,s,s,s,30200.3573,33746.3251
329692,s,s,s,s,s,s,s,s,s,s,s,s,30200.336,33754.1536
329694,s,s,s,s,s,s,s,s,s,s,s,s,30223.1703,33742.6749
329698,s,s,s,s,s,s,s,s,s,s,s,487.3,30229.7875,33752.5541
329700,s,s,s,s,s,s,s,s,s,s,s,s,30235.1702,33751.0283
329701,-,-,-,-,-,-,-,s,s,12.8,106.1,219,30227.5306,33788.3351
329707,s,s,s,s,s,s,s,s,s,s,s,s,30198.4523,33787.185
329714,-,-,s,s,37.4,102.1,172.4,215.6,267.6,252.4,241.9,242.7,30212.5668,33820.323
329727,571.9,722.1,540,661.1,856.1,710.5,741.1,788.2,662.6,727.4,798.1,734.8,30075.8351,33883.4647
329731,420.5,498.8,433.6,458.5,531.2,462.8,467.4,513.2,545.1,504,436.3,462.4,30169.3435,33913.607
329732,s,s,s,s,s,s,s,s,s,s,s,s,30157.6144,33923.3919
329733,s,s,s,s,s,s,-,-,-,-,-,-,30154.4028,33928.2353
329737,s,s,s,s,s,s,s,s,s,s,s,s,30140.8745,33943.836
329747,-,-,-,s,s,s,s,s,s,s,s,s,30041.1268,33994.1571
329748,s,s,s,s,s,s,s,s,s,s,s,s,30036.7015,33998.5973
329752,s,s,s,s,s,s,s,s,s,s,s,s,30026.5628,34003.978
329756,s,s,s,s,s,s,s,s,s,s,s,s,30026.5628,34003.978
329760,"1,195.70","1,373.30","1,235.30","1,283.30","2,122.70","1,593.00","1,830.00","1,888.70","1,569.30","1,646.30",s,"1,055.30",30083.8105,34009.7253
329762,881.3,"1,153.70",907.3,"1,013.70","1,460.30","1,157.00","1,118.00","1,255.30","1,157.70","1,149.00","1,212.70","1,161.30",30078.4802,34014.7145
329764,629,"1,097.70",766.7,912.3,"1,259.00","1,015.70",996.5,980,"1,141.00","1,219.70","1,487.70","1,331.30",30075.7307,34019.9756
329766,s,s,s,s,s,s,s,s,s,s,s,s,30071.9727,34024.7983
329768,s,s,s,s,s,s,s,s,s,"1,347.70","1,254.70",s,30067.796,34029.2172
329770,885,"1,265.70","1,388.30","1,388.70","2,271.30",s,961.5,"1,075.50","1,877.30","1,796.70","1,957.30","1,846.30",30064.0984,34034.0513
329772,564.7,698.3,377.3,529,886.7,662,902.7,863,657.7,724.3,675.7,688.7,30059.902,34038.4701
329774,s,s,s,s,s,s,s,s,s,s,s,s,30053.3848,34045.4482
329776,661,809.8,644.5,718.6,"1,020.70",816.9,799.2,910.6,880,868.2,907.5,875.1,30171.9819,34168.8723
329778,194.3,239.4,183.1,219.9,332.1,257.8,251.4,278.9,290.4,282.8,289.3,284.2,30124.8707,34173.7583
329779,496.6,686.8,552.2,624.4,953.8,663.6,685.6,757.1,820.1,755.3,795.1,739.8,29969.6439,34159.3974
329780,569.2,712,605.7,672.9,"1,126.80",853.7,834.7,909.3,"1,083.50",958.1,988.1,943,30002.0624,34120.897
329782,888.9,"1,144.80",824.1,968.3,"1,068.20",952.4,984.4,"1,068.60","1,802.80","1,394.00","1,633.40","1,485.40",29954.0131,34072.5925
329785,s,s,s,s,s,s,s,s,s,s,s,s,29914.7187,34119.4033
329786,s,s,s,s,s,s,s,s,s,s,s,s,29909.184,34123.9612
329787,s,s,s,s,s,s,s,s,s,s,s,s,29904.1132,34127.9667
329788,s,s,s,s,s,s,s,s,s,s,s,s,29899.1069,34132.2209
329789,s,s,s,s,s,s,s,s,s,s,s,s,29893.2813,34135.4196
329793,436.7,533.7,358.7,438.7,574.7,474,715.3,656.3,667.7,630.7,722.3,665.3,29877.5538,34153.146
329794,858,952,404.7,601.7,"1,084.70",788.7,999.3,986.3,836,868,892.7,866,29871.3643,34155.9852
329798,s,s,s,s,s,s,s,s,s,s,s,s,29828.4321,34171.7135
329799,s,s,s,s,s,s,s,s,s,s,s,s,29823.2603,34174.8661
329801,s,s,s,s,s,s,s,s,s,s,s,s,29799.851,34190.6418
329802,551.6,728,554.9,629.4,892.9,737.6,769.6,857.2,818.7,783.1,892.2,811.2,29900.4747,34217.428
329803,s,s,s,s,s,s,s,s,s,s,s,s,29796.4769,34193.735
329806,s,s,s,s,s,s,s,s,s,s,s,s,29825.4801,34229.8059
329810,570.1,675.5,649.2,694.7,"1,023.50",803.8,909.3,945.2,848.3,854,870.1,850.4,29756.3854,34269.6684
329813,726.1,934.6,696.1,857,"1,063.90",890.4,985.9,"1,001.50","1,013.00","1,063.70","1,267.40","1,008.40",29707.331,34292.4268
329820,532.8,621.4,499.3,739.9,843.6,741.4,838.3,871.5,823,806.6,902.5,840.8,29681.9929,34243.0474
329836,s,s,s,s,s,s,s,s,s,s,s,s,29647.1731,34265.136
329839,s,s,s,s,s,s,s,s,s,s,s,s,29633.8061,34272.6249
